id,week,num_weeks,censor,coupon,anyp
1,1,1,0,0,55.61
2,1,1,0,0,55.61
3,1,1,0,0,55.61
4,1,1,0,0,55.61
5,1,1,0,0,55.61
6,1,1,0,0,55.61
7,1,1,0,0,55.61
8,1,1,0,0,55.61
9,1,2,0,0,55.61
9,2,2,0,0,55.82
10,1,2,0,0,55.61
10,2,2,0,0,55.82
11,1,2,0,0,55.61
11,2,2,0,0,55.82
12,1,2,0,0,55.61
12,2,2,0,0,55.82
13,1,2,0,0,55.61
13,2,2,0,0,55.82
14,1,2,0,0,55.61
14,2,2,0,0,55.82
15,1,3,0,0,55.61
15,2,3,0,0,55.82
15,3,3,0,0.0180370411,55.65
16,1,3,0,0,55.61
16,2,3,0,0,55.82
16,3,3,0,0.0180370411,55.65
17,1,4,0,0,55.61
17,2,4,0,0,55.82
17,3,4,0,0.0180370411,55.65
17,4,4,0,0.1262592877,81.17
18,1,4,0,0,55.61
18,2,4,0,0,55.82
18,3,4,0,0.0180370411,55.65
18,4,4,0,0.1262592877,81.17
19,1,4,0,0,55.61
19,2,4,0,0,55.82
19,3,4,0,0.0180370411,55.65
19,4,4,0,0.1262592877,81.17
20,1,4,0,0,55.61
20,2,4,0,0,55.82
20,3,4,0,0.0180370411,55.65
20,4,4,0,0.1262592877,81.17
21,1,4,0,0,55.61
21,2,4,0,0,55.82
21,3,4,0,0.0180370411,55.65
21,4,4,0,0.1262592877,81.17
22,1,4,0,0,55.61
22,2,4,0,0,55.82
22,3,4,0,0.0180370411,55.65
22,4,4,0,0.1262592877,81.17
23,1,4,0,0,55.61
23,2,4,0,0,55.82
23,3,4,0,0.0180370411,55.65
23,4,4,0,0.1262592877,81.17
24,1,4,0,0,55.61
24,2,4,0,0,55.82
24,3,4,0,0.0180370411,55.65
24,4,4,0,0.1262592877,81.17
25,1,4,0,0,55.61
25,2,4,0,0,55.82
25,3,4,0,0.0180370411,55.65
25,4,4,0,0.1262592877,81.17
26,1,4,0,0,55.61
26,2,4,0,0,55.82
26,3,4,0,0.0180370411,55.65
26,4,4,0,0.1262592877,81.17
27,1,4,0,0,55.61
27,2,4,0,0,55.82
27,3,4,0,0.0180370411,55.65
27,4,4,0,0.1262592877,81.17
28,1,4,0,0,55.61
28,2,4,0,0,55.82
28,3,4,0,0.0180370411,55.65
28,4,4,0,0.1262592877,81.17
29,1,4,0,0,55.61
29,2,4,0,0,55.82
29,3,4,0,0.0180370411,55.65
29,4,4,0,0.1262592877,81.17
30,1,4,0,0,55.61
30,2,4,0,0,55.82
30,3,4,0,0.0180370411,55.65
30,4,4,0,0.1262592877,81.17
31,1,4,0,0,55.61
31,2,4,0,0,55.82
31,3,4,0,0.0180370411,55.65
31,4,4,0,0.1262592877,81.17
32,1,4,0,0,55.61
32,2,4,0,0,55.82
32,3,4,0,0.0180370411,55.65
32,4,4,0,0.1262592877,81.17
33,1,5,0,0,55.61
33,2,5,0,0,55.82
33,3,5,0,0.0180370411,55.65
33,4,5,0,0.1262592877,81.17
33,5,5,0,0.078697419,74.45
34,1,5,0,0,55.61
34,2,5,0,0,55.82
34,3,5,0,0.0180370411,55.65
34,4,5,0,0.1262592877,81.17
34,5,5,0,0.078697419,74.45
35,1,5,0,0,55.61
35,2,5,0,0,55.82
35,3,5,0,0.0180370411,55.65
35,4,5,0,0.1262592877,81.17
35,5,5,0,0.078697419,74.45
36,1,5,0,0,55.61
36,2,5,0,0,55.82
36,3,5,0,0.0180370411,55.65
36,4,5,0,0.1262592877,81.17
36,5,5,0,0.078697419,74.45
37,1,5,0,0,55.61
37,2,5,0,0,55.82
37,3,5,0,0.0180370411,55.65
37,4,5,0,0.1262592877,81.17
37,5,5,0,0.078697419,74.45
38,1,5,0,0,55.61
38,2,5,0,0,55.82
38,3,5,0,0.0180370411,55.65
38,4,5,0,0.1262592877,81.17
38,5,5,0,0.078697419,74.45
39,1,5,0,0,55.61
39,2,5,0,0,55.82
39,3,5,0,0.0180370411,55.65
39,4,5,0,0.1262592877,81.17
39,5,5,0,0.078697419,74.45
40,1,5,0,0,55.61
40,2,5,0,0,55.82
40,3,5,0,0.0180370411,55.65
40,4,5,0,0.1262592877,81.17
40,5,5,0,0.078697419,74.45
41,1,6,0,0,55.61
41,2,6,0,0,55.82
41,3,6,0,0.0180370411,55.65
41,4,6,0,0.1262592877,81.17
41,5,6,0,0.078697419,74.45
41,6,6,0,0.044160582,73.82
42,1,6,0,0,55.61
42,2,6,0,0,55.82
42,3,6,0,0.0180370411,55.65
42,4,6,0,0.1262592877,81.17
42,5,6,0,0.078697419,74.45
42,6,6,0,0.044160582,73.82
43,1,6,0,0,55.61
43,2,6,0,0,55.82
43,3,6,0,0.0180370411,55.65
43,4,6,0,0.1262592877,81.17
43,5,6,0,0.078697419,74.45
43,6,6,0,0.044160582,73.82
44,1,6,0,0,55.61
44,2,6,0,0,55.82
44,3,6,0,0.0180370411,55.65
44,4,6,0,0.1262592877,81.17
44,5,6,0,0.078697419,74.45
44,6,6,0,0.044160582,73.82
45,1,6,0,0,55.61
45,2,6,0,0,55.82
45,3,6,0,0.0180370411,55.65
45,4,6,0,0.1262592877,81.17
45,5,6,0,0.078697419,74.45
45,6,6,0,0.044160582,73.82
46,1,6,0,0,55.61
46,2,6,0,0,55.82
46,3,6,0,0.0180370411,55.65
46,4,6,0,0.1262592877,81.17
46,5,6,0,0.078697419,74.45
46,6,6,0,0.044160582,73.82
47,1,6,0,0,55.61
47,2,6,0,0,55.82
47,3,6,0,0.0180370411,55.65
47,4,6,0,0.1262592877,81.17
47,5,6,0,0.078697419,74.45
47,6,6,0,0.044160582,73.82
48,1,7,0,0,55.61
48,2,7,0,0,55.82
48,3,7,0,0.0180370411,55.65
48,4,7,0,0.1262592877,81.17
48,5,7,0,0.078697419,74.45
48,6,7,0,0.044160582,73.82
48,7,7,0,0.0214475487,46.83
49,1,7,0,0,55.61
49,2,7,0,0,55.82
49,3,7,0,0.0180370411,55.65
49,4,7,0,0.1262592877,81.17
49,5,7,0,0.078697419,74.45
49,6,7,0,0.044160582,73.82
49,7,7,0,0.0214475487,46.83
50,1,7,0,0,55.61
50,2,7,0,0,55.82
50,3,7,0,0.0180370411,55.65
50,4,7,0,0.1262592877,81.17
50,5,7,0,0.078697419,74.45
50,6,7,0,0.044160582,73.82
50,7,7,0,0.0214475487,46.83
51,1,8,0,0,55.61
51,2,8,0,0,55.82
51,3,8,0,0.0180370411,55.65
51,4,8,0,0.1262592877,81.17
51,5,8,0,0.078697419,74.45
51,6,8,0,0.044160582,73.82
51,7,8,0,0.0214475487,46.83
51,8,8,0,0.0084743074,0
52,1,8,0,0,55.61
52,2,8,0,0,55.82
52,3,8,0,0.0180370411,55.65
52,4,8,0,0.1262592877,81.17
52,5,8,0,0.078697419,74.45
52,6,8,0,0.044160582,73.82
52,7,8,0,0.0214475487,46.83
52,8,8,0,0.0084743074,0
53,1,9,0,0,55.61
53,2,9,0,0,55.82
53,3,9,0,0.0180370411,55.65
53,4,9,0,0.1262592877,81.17
53,5,9,0,0.078697419,74.45
53,6,9,0,0.044160582,73.82
53,7,9,0,0.0214475487,46.83
53,8,9,0,0.0084743074,0
53,9,9,0,0.0024570064,72.41
54,1,9,0,0,55.61
54,2,9,0,0,55.82
54,3,9,0,0.0180370411,55.65
54,4,9,0,0.1262592877,81.17
54,5,9,0,0.078697419,74.45
